,subsr,chnl_nm,in_dt,use_tms,pgm_nm,SMRY,ACTR_DISP,
86,60035000,채널J,20240301165735,24,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
87,60912000,채널J,20240301153801,3893,낭만닥터 김사부(19회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
88,66056000,채널J,20240301165953,157,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
89,65407000,채널J,20240301122258,1380,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
90,61814000,채널J,20240301165333,75,낭만닥터 김사부(20회),누군가를 이기고자 의사가 된 남자와 인정 받기 위해 의사가 된 여자가 김사부를 만나 현대에 죽어가는 가치들에 대해 깨닫는 이야기를 그린 드라마,"한석규,서현진,유연석,진경,임원희,최진호,김민재,김홍파,변우민,서은수,장혁진,양세종,주현,태인호,서...",
91,63123000,KBS1,20240301154949,5372,콘서트 문화창고,,,
92,60798000,대교노리Q,20240301011021,119,버블버블마린(3회),평화로운 바다 속 마을의 모험 이야기,,
93,59910000,JTBC골프,20240301054108,5,2024 PGA투어 카그니전트 클래식,,,
94,60201000,JTBC,20240301091512,966,다시보는 건강스페셜(47회),,,
95,64520000,채널나우,20240301171409,13,시카리오:암살자의 도시,,"에밀리 블런트,베네치오 델 토로,조슈 브롤린,빅터 가버",
96,67039000,채널나우,20240301153144,223,시카리오:암살자의 도시,,"에밀리 블런트,베네치오 델 토로,조슈 브롤린,빅터 가버",
97,67161000,JTBC,20240301092806,1331,다시보는 건강스페셜(47회),,,
98,65046000,아시아 M,20240301180932,0,신용문객잔,,"양가휘,임청하,장만옥",
99,66847000,아시아 M,20240301195210,41,신용문객잔,,"양가휘,임청하,장만옥",
100,66717000,OCN무비즈2,20240301023240,367,부당거래,"<짝패>의 류승완 감독이 다시 메가폰을 잡고, <사생결단>의 황정민과 류승범, <이끼>의 유해진이 손을 잡아 만든 범죄드라마","유해진,류승범,황정민",
101,59935000,OCN무비즈2,20240301185904,219,스파이,"대한민국 최고의 스파이가 국가의 운명이 걸린 초특급 작전을 수행하던 중, 자신의 정체를 모르는 마누라가 작전에 휘말리며 벌어지는 코믹 첩보 액션 영화","설경구,문소리,다니엘 헤니,고창석,한예리,정인기,라미란,송재호",
102,66608000,OCN무비즈2,20240301012805,324,부당거래,"<짝패>의 류승완 감독이 다시 메가폰을 잡고, <사생결단>의 황정민과 류승범, <이끼>의 유해진이 손을 잡아 만든 범죄드라마","유해진,류승범,황정민",
