,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt
655,62444000,30일,영화,코미디,496,완벽한 저에게 신은 저 여자를 던지셨죠. 지성과 외모 그리고 찌질함까지 타고난 정열. 모기 같은 존재죠. 존재의 이유를 모르겠는? 능력과 커리어 그리고 똘기까지 타고난 나라. 영화처럼 만나 영화 같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내...,"강하늘,정소민,조민수,김선영,황세인,윤경호,이상진,원우,송해나,엄지윤,임철형",01:59,20240228135107
656,62444000,30일,영화,코미디,2,완벽한 저에게 신은 저 여자를 던지셨죠. 지성과 외모 그리고 찌질함까지 타고난 정열. 모기 같은 존재죠. 존재의 이유를 모르겠는? 능력과 커리어 그리고 똘기까지 타고난 나라. 영화처럼 만나 영화 같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내...,"강하늘,정소민,조민수,김선영,황세인,윤경호,이상진,원우,송해나,엄지윤,임철형",01:59,20240228141447
657,62444000,30일,영화,코미디,233,완벽한 저에게 신은 저 여자를 던지셨죠. 지성과 외모 그리고 찌질함까지 타고난 정열. 모기 같은 존재죠. 존재의 이유를 모르겠는? 능력과 커리어 그리고 똘기까지 타고난 나라. 영화처럼 만나 영화 같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내...,"강하늘,정소민,조민수,김선영,황세인,윤경호,이상진,원우,송해나,엄지윤,임철형",01:59,20240228141451
658,64659000,30일(예고),영화,코미디,0,완벽한 저에게 신은 저 여자를 던지셨죠. 지성과 외모 그리고 찌질함까지 타고난 정열. 모기 같은 존재죠. 존재의 이유를 모르겠는? 능력과 커리어 그리고 똘기까지 타고난 나라. 영화처럼 만나 영화 같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내...,"강하늘,정소민,조민수,김선영,황세인,윤경호,이상진,원우,송해나,엄지윤,임철형",00:00,20240228190515
659,67334000,30일,영화,코미디,0,완벽한 저에게 신은 저 여자를 던지셨죠. 지성과 외모 그리고 찌질함까지 타고난 정열. 모기 같은 존재죠. 존재의 이유를 모르겠는? 능력과 커리어 그리고 똘기까지 타고난 나라. 영화처럼 만나 영화 같은 사랑을 했지만 서로의 찌질함과 똘기를 견디다 못해 마침내...,"강하늘,정소민,조민수,김선영,황세인,윤경호,이상진,원우,송해나,엄지윤,임철형",01:59,20240220140200
660,66705000,샌드이글작전,영화,액션/어드벤쳐,1771,"어둠의 나라 Y에서 초국적 범죄 집단 RW는 전쟁을 틈타 폭도들을 고용해 난민들을 납치하고 인신매매와 장기 판매를 일삼는다. 이로 인해 난민 지역 주민들이 다수 사망하고, 기자 한나는 범행을 폭로하기 위해 목숨을 걸고 증거 사진을 찍기 위해 난민촌에 들어가는데...","유사박,왕가려",01:22,20240225131535
661,61065000,고려거란전쟁 08회(23/12/03),TV드라마,기타,3240,"강조는 거란 황제 앞에서 끝까지 고려에 대한 충절을 지킨다. 조정의 대신들은 항복을 입에 올리기 시작하고, 강감찬 역시 동조하고 나선다.","김동준,지승현,최수종",00:54,20240202085208
662,61136000,거유 형수님 박아버린 도련님,영화,성인,123,삼수 중인 나는 형네 집에 얹혀살고 있다. 형과 반대로 형수님은 나에게 너무나 친절하다. 학원과 공부에 지친 힘든 나날을 보내고 있던 어느 날 우연히 형수님의 큰 가슴이 눈에 들어왔고 그때부터 공부에 집중이 더 안되었다.,카와무라 하루,00:49,20240211101730
663,61136000,거유 형수님 박아버린 도련님,영화,성인,42,삼수 중인 나는 형네 집에 얹혀살고 있다. 형과 반대로 형수님은 나에게 너무나 친절하다. 학원과 공부에 지친 힘든 나날을 보내고 있던 어느 날 우연히 형수님의 큰 가슴이 눈에 들어왔고 그때부터 공부에 집중이 더 안되었다.,카와무라 하루,00:49,20240203142919
664,61136000,거유 형수님 박아버린 도련님,영화,성인,107,삼수 중인 나는 형네 집에 얹혀살고 있다. 형과 반대로 형수님은 나에게 너무나 친절하다. 학원과 공부에 지친 힘든 나날을 보내고 있던 어느 날 우연히 형수님의 큰 가슴이 눈에 들어왔고 그때부터 공부에 집중이 더 안되었다.,카와무라 하루,00:49,20240213085858
665,61136000,거유 형수님 박아버린 도련님,영화,성인,95,삼수 중인 나는 형네 집에 얹혀살고 있다. 형과 반대로 형수님은 나에게 너무나 친절하다. 학원과 공부에 지친 힘든 나날을 보내고 있던 어느 날 우연히 형수님의 큰 가슴이 눈에 들어왔고 그때부터 공부에 집중이 더 안되었다.,카와무라 하루,00:49,20240223134128
666,65954000,우당탕탕 패밀리 091회(24/01/26),TV드라마,기타,1680,서로에 대한 마음을 확인한 은혁과 하영은 당분간 비밀연애를 하기로 약속하고... 춘영은 동구에게 정숙을 쪽방에서 당장 내보내라며 다그친다. 한편 민국은 가족이 아닌 누군가가 가람의 유치원으로 간식을 보냈다는 사실을 알게 되는데...,"남상지,이도겸,강다빈,이효나",00:28,20240220070857
667,66875000,향초선생불수교 : 잠들지 못하는 밤 06회(A),TV드라마,외화 시리즈,1571,"루언퉁에게만 설레는 감정을 알아챈 쑹옌쉬는 갖은 시도와 실패를 거듭한 끝에 루언퉁에게 진심을 고백하고, 모른 척하던 루언퉁도 결국 같은 마음을 보여준다. 사랑에 빠진 쑹옌쉬는 키스할 때 잠드는 문제를 해결하기 위해 반대로 잠을 쫓아야 하는 현실에 닥치는데...","공설아,오우항,반록우,욱총",00:35,20240209022150
668,66875000,향초선생불수교 : 잠들지 못하는 밤 13회(A),TV드라마,외화 시리즈,734,루언퉁은 리 박사의 제안을 듣고 쑹옌쉬와 여행을 떠나기로 한다. 처음엔 딸의 여행을 극구 반대하던 부모님이 갑자기 선뜻 허락한 게 어딘지 꺼림직한 루언퉁은 루화이찬에게 전화를 걸어 무슨 꿍꿍이가 있는 건지 슬쩍 떠보는데...,"공설아,오우항,반록우,욱총",00:25,20240212124826
669,66480000,건축학개론,영화,멜로,8,"우리 모두는 누군가의 첫사랑이었다. 건축학과 스무 살 승민은 건축학개론 수업에서 처음 만난 음대생 서연에게 반한다. 하지만 승민은 마음을 고백하지 못하고, 작은 오해로 인해 서연과 멀어진다. 그리고 15년 뒤, 서른 다섯의 건축가가 된 승민 앞에 서연이 불쑥 나타난다.","엄태웅,한가인,이제훈,수지,조정석,고준희,유연석",01:56,20240219185406
670,66410000,건축학개론,영화,멜로,4910,"우리 모두는 누군가의 첫사랑이었다. 건축학과 스무 살 승민은 건축학개론 수업에서 처음 만난 음대생 서연에게 반한다. 하지만 승민은 마음을 고백하지 못하고, 작은 오해로 인해 서연과 멀어진다. 그리고 15년 뒤, 서른 다섯의 건축가가 된 승민 앞에 서연이 불쑥 나타난다.","엄태웅,한가인,이제훈,수지,조정석,고준희,유연석",01:56,20240227170715
671,60939000,건축학개론,영화,멜로,4666,"우리 모두는 누군가의 첫사랑이었다. 건축학과 스무 살 승민은 건축학개론 수업에서 처음 만난 음대생 서연에게 반한다. 하지만 승민은 마음을 고백하지 못하고, 작은 오해로 인해 서연과 멀어진다. 그리고 15년 뒤, 서른 다섯의 건축가가 된 승민 앞에 서연이 불쑥 나타난다.","엄태웅,한가인,이제훈,수지,조정석,고준희,유연석",01:56,20240226194931
672,60939000,건축학개론,영화,멜로,23,"우리 모두는 누군가의 첫사랑이었다. 건축학과 스무 살 승민은 건축학개론 수업에서 처음 만난 음대생 서연에게 반한다. 하지만 승민은 마음을 고백하지 못하고, 작은 오해로 인해 서연과 멀어진다. 그리고 15년 뒤, 서른 다섯의 건축가가 된 승민 앞에 서연이 불쑥 나타난다.","엄태웅,한가인,이제훈,수지,조정석,고준희,유연석",01:56,20240225201757
